team1,team2,home_team,team1_score,year,week,postseason,Att_x,Cmp,Cmp %,Yds/Att,Pass Yds,TD_x,INT,Rate,1st,1st%,20+_x,40+_x,Sck,SckY,Att_y,Rush Yds,YPC,TD_y,20+_y,40+_y,Rush 1st,Rush 1st%,Rush FUM,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,allowed_Att_x,allowed_Cmp,allowed_Cmp %,allowed_Yds/Att,allowed_Yds,allowed_TD_x,allowed_INT_x,allowed_1st,allowed_1st%,allowed_Sck,allowed_Att_y,allowed_Rush Yds,allowed_YPC,allowed_TD_y,allowed_Rush 1st,allowed_Rush 1st%,allowed_FF,allowed_FR,allowed_FR TD,allowed_INT_y,allowed_INT TD,allowed_INT Yds
Jets,Patriots,0,10,2013,2,0,480.0,266.0,55.4,6.8,3270.0,13.0,22.0,66.6,154.0,32.1,47.0,6.0,47.0,338.0,493.0,2158.0,4.4,12.0,14.0,2.0,105.0,21.3,7.0,33.0,91.7,27.0,100.0,0.0,0.0,589.0,336.0,57.0,6.5,3824.0,25.0,17.0,208.0,35.3,48.0,481.0,2145.0,4.5,11.0,110.0,22.9,11.0,12.0,1.0,17.0,2.0,220.0
Falcons,Rams,1,31,2013,2,0,659.0,445.0,67.5,6.9,4541.0,26.0,17.0,89.5,227.0,34.4,44.0,9.0,44.0,298.0,321.0,1247.0,3.9,11.0,6.0,2.0,64.0,19.9,1.0,24.0,88.9,39.0,100.0,0.0,0.0,521.0,355.0,68.1,7.4,3874.0,21.0,14.0,203.0,39.0,53.0,440.0,1646.0,3.7,18.0,87.0,19.8,21.0,15.0,3.0,14.0,2.0,256.0
Rams,Falcons,0,24,2013,2,0,506.0,301.0,59.5,6.6,3360.0,22.0,11.0,84.8,165.0,32.6,41.0,5.0,36.0,235.0,426.0,1752.0,4.1,10.0,11.0,4.0,82.0,19.2,6.0,26.0,92.9,34.0,100.0,0.0,1.0,516.0,341.0,66.1,7.6,3897.0,31.0,10.0,196.0,38.0,32.0,455.0,2173.0,4.8,14.0,102.0,22.4,13.0,10.0,1.0,10.0,2.0,176.0
Ravens,Browns,1,14,2013,2,0,619.0,363.0,58.6,6.3,3914.0,19.0,23.0,72.0,189.0,30.5,45.0,14.0,48.0,324.0,423.0,1328.0,3.1,7.0,5.0,1.0,68.0,16.1,2.0,38.0,92.7,26.0,100.0,1.0,1.0,605.0,363.0,60.0,5.8,3538.0,29.0,14.0,197.0,32.6,40.0,462.0,1781.0,3.8,13.0,103.0,22.3,8.0,7.0,1.0,14.0,3.0,274.0
Browns,Ravens,0,6,2013,2,0,681.0,379.0,55.6,6.4,4372.0,26.0,20.0,75.7,200.0,29.4,52.0,14.0,49.0,325.0,348.0,1383.0,4.0,4.0,9.0,2.0,77.0,22.1,2.0,21.0,80.8,33.0,100.0,0.0,1.0,552.0,314.0,56.9,6.7,3681.0,25.0,16.0,176.0,31.9,40.0,440.0,1687.0,3.8,7.0,79.0,18.0,14.0,7.0,0.0,16.0,1.0,160.0
Bills,Panthers,1,24,2013,2,0,522.0,299.0,57.3,6.5,3373.0,16.0,15.0,75.0,149.0,28.5,46.0,9.0,48.0,270.0,546.0,2307.0,4.2,15.0,11.0,5.0,113.0,20.7,12.0,33.0,91.7,32.0,100.0,0.0,0.0,563.0,375.0,66.6,6.1,3429.0,17.0,20.0,178.0,31.6,60.0,352.0,1391.0,4.0,4.0,70.0,19.9,11.0,9.0,0.0,20.0,4.0,234.0
Panthers,Bills,0,23,2013,2,0,473.0,292.0,61.7,7.1,3379.0,24.0,13.0,88.8,169.0,35.7,33.0,7.0,43.0,336.0,483.0,2026.0,4.2,14.0,10.0,2.0,122.0,25.3,3.0,24.0,88.9,42.0,100.0,0.0,0.0,561.0,310.0,55.3,5.8,3271.0,28.0,23.0,170.0,30.3,57.0,471.0,2063.0,4.4,10.0,98.0,20.8,12.0,6.0,1.0,23.0,2.0,289.0
Bears,Vikings,1,31,2013,2,0,579.0,373.0,64.4,7.7,4450.0,32.0,13.0,96.9,215.0,37.1,53.0,11.0,30.0,169.0,404.0,1828.0,4.5,13.0,13.0,5.0,102.0,25.2,4.0,26.0,89.7,45.0,97.8,0.0,1.0,648.0,419.0,64.7,7.1,4595.0,37.0,12.0,247.0,38.1,41.0,443.0,1767.0,4.0,14.0,101.0,22.8,12.0,8.0,1.0,12.0,0.0,78.0
Vikings,Bears,0,30,2013,2,0,546.0,325.0,59.5,6.7,3645.0,18.0,19.0,76.0,173.0,31.7,54.0,7.0,44.0,218.0,423.0,2081.0,4.9,23.0,16.0,5.0,105.0,24.8,9.0,26.0,86.7,43.0,97.7,2.0,1.0,507.0,315.0,62.1,7.4,3730.0,25.0,19.0,184.0,36.3,31.0,483.0,2583.0,5.4,22.0,147.0,30.4,19.0,8.0,1.0,19.0,5.0,428.0
Packers,Redskins,1,38,2013,2,0,570.0,366.0,64.2,8.0,4538.0,25.0,16.0,91.7,201.0,35.3,65.0,11.0,45.0,270.0,459.0,2136.0,4.6,17.0,11.0,5.0,118.0,25.7,7.0,33.0,89.2,42.0,100.0,0.0,1.0,514.0,337.0,65.6,7.6,3896.0,29.0,16.0,204.0,39.7,36.0,443.0,1769.0,4.0,23.0,102.0,23.0,12.0,9.0,1.0,16.0,4.0,247.0
